stable_id,parent_stable_id,title,subject,stage,standard_version,authority,standard_section,requirement_type,behavior_verb,ability_dimensions,source_material_ids,evidence_locations,knowledge_stable_ids,review_status,production_eligible,notes
CS-C003-CORE-01,,物理观念,physics,junior_middle_school,2022年版2025年修订,教育部,三-课程目标-核心素养内涵,core_literacy,解释;解决,物理观念;物质观念;运动和相互作用观念;能量观念,SRC-C003-001,课标p7,,pending_review,false,从物理学视角形成物质、运动和相互作用、能量等总体认识
CS-C003-CORE-02,,科学思维,physics,junior_middle_school,2022年版2025年修订,教育部,三-课程目标-核心素养内涵,core_literacy,建构;推理;论证;质疑,模型建构;科学推理;科学论证;质疑创新,SRC-C003-001,课标p7-p8,,pending_review,false,包括模型建构、科学推理、科学论证、质疑创新等要素
CS-C003-CORE-03,,科学探究,physics,junior_middle_school,2022年版2025年修订,教育部,三-课程目标-核心素养内涵,core_literacy,提出;设计;获取;解释;交流,问题;证据;解释;交流,SRC-C003-001,课标p8,,pending_review,false,基于观察和实验提出问题、设计方案、处理信息并交流反思
CS-C003-CORE-04,,科学态度与责任,physics,junior_middle_school,2022年版2025年修订,教育部,三-课程目标-核心素养内涵,core_literacy,认识;保护;遵守;推动,科学本质观;科学态度;社会责任,SRC-C003-001,课标p8,,pending_review,false,形成探索自然的内在动力和社会责任
CS-C003-1-1,,物质的形态和变化,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.1,content_requirement,描述;了解;经历;运用,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p12,KPHY-C003-002,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-1-1,CS-C003-1-1,描述固态液态气态基本特征并列举应用,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.1.1,content_requirement,描述;列举,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p12,KPHY-C003-003,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-1-2,CS-C003-1-1,了解液体温度计工作原理并会测量温度,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.1.2,content_requirement,了解;会;测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p12,KPHY-C003-004,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-1-3,CS-C003-1-1,经历物态变化探究并知道熔点凝固点沸点及吸放热,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.1.3,content_requirement,经历;知道;了解;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p12,KPHY-C003-005;KPHY-C003-006;KPHY-C003-007,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-1-4,CS-C003-1-1,运用物态变化知识说明水循环并形成节水意识,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.1.4,content_requirement,运用;说明;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p12,KPHY-C003-008,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-2,,物质的属性,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.2,content_requirement,了解;知道;理解;测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p13,KPHY-C003-009,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-2-1,CS-C003-1-2,通过实验了解弹性磁性导电性导热性等物理属性,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.2.1,content_requirement,通过实验;了解;描述,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p13,KPHY-C003-010;KPHY-C003-011;KPHY-C003-012;KPHY-C003-013,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-2-2,CS-C003-1-2,知道质量含义并会测量固体和液体质量,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.2.2,content_requirement,知道;会;测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p13,KPHY-C003-014,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-2-3,CS-C003-1-2,通过实验理解密度并会测量固体和液体密度,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.2.3,content_requirement,通过实验;理解;测量;解释,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p13,KPHY-C003-015,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-2-4,CS-C003-1-2,了解物质属性研究对生产生活和科技进步的影响,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.2.4,content_requirement,了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p13,,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-3,,物质的结构和物质世界的尺度,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.3,content_requirement,知道;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p13-p14,KPHY-C003-016,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-3-1,CS-C003-1-3,知道常见物质由分子原子构成,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.3.1,content_requirement,知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p13,KPHY-C003-017,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-3-2,CS-C003-1-3,知道原子由原子核和电子构成并了解核式结构模型,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.3.2,content_requirement,知道;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p13-p14,KPHY-C003-018,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-3-3,CS-C003-1-3,了解人类探索太阳系及宇宙的大致历程,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.3.3,content_requirement,了解;关注,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p14,,pending_review,false,课程标准手工结构化候选条目
CS-C003-1-3-4,CS-C003-1-3,了解物质世界的大致尺度,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-1.3.4,content_requirement,了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p14,KPHY-C003-019,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-1,,多种多样的运动形式,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.1,content_requirement,知道;举例;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p17-p18,KPHY-C003-021,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-1-1,CS-C003-2-1,知道机械运动并举例说明机械运动相对性,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.1.1,content_requirement,知道;举例;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p17-p18,KPHY-C003-022,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-1-2,CS-C003-2-1,了解分子热运动主要特点和分子动理论基本观点,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.1.2,content_requirement,知道;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p17-p18,KPHY-C003-023,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-1-3,CS-C003-2-1,举例说明自然界存在多种多样运动形式,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.1.3,content_requirement,举例;说明;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p17-p18,,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-2,,机械运动和力,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.2,content_requirement,测量;估测;理解;探究,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p18-p20,KPHY-C003-024,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-2-1,CS-C003-2-2,会测量长度和时间并根据生活经验估测,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.2.1,content_requirement,会;估测;测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p18,KPHY-C003-025,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-2-2,CS-C003-2-2,用速度描述运动快慢并进行简单计算和测量,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.2.2,content_requirement,描述;计算;测量,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p18,KPHY-C003-026,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-2-3,CS-C003-2-2,了解重力弹力摩擦力并认识力的作用效果,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.2.3,content_requirement,了解;认识;探究,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p18,KPHY-C003-027;KPHY-C003-028,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-2-4,CS-C003-2-2,用示意图描述力并知道二力平衡条件,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.2.4,content_requirement,描述;测量;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p18,KPHY-C003-029,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-2-5,CS-C003-2-2,通过实验和推理认识牛顿第一定律并用惯性解释现象,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.2.5,content_requirement,认识;运用;解释,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p18-p19,KPHY-C003-030,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-2-6,CS-C003-2-2,知道简单机械并探究杠杆平衡条件,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.2.6,content_requirement,知道;探究;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p19,KPHY-C003-031,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-2-7,CS-C003-2-2,通过实验理解压强并知道增大减小压强方法,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.2.7,content_requirement,理解;知道;应用,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p19,KPHY-C003-032,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-2-8,CS-C003-2-2,探究液体压强并知道大气压强和流体压强应用,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.2.8,content_requirement,探究;知道;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p19,KPHY-C003-033,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-2-9,CS-C003-2-2,通过实验认识浮力并知道阿基米德原理和浮沉条件,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.2.9,content_requirement,认识;探究;知道;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p19-p20,KPHY-C003-034,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-3,,声和光,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.3,content_requirement,认识;了解;探究,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p20-p21,KPHY-C003-035,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-3-1,CS-C003-2-3,通过实验认识声的产生和传播条件,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.3.1,content_requirement,认识;通过实验,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p20,KPHY-C003-036,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-3-2,CS-C003-2-3,了解声音特性声学应用和噪声危害控制,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.3.2,content_requirement,了解;知道;举例,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p20,KPHY-C003-037,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-3-3,CS-C003-2-3,探究光的反射定律并了解光的折射现象及特点,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.3.3,content_requirement,探究;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p20,KPHY-C003-038,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-3-4,CS-C003-2-3,探究平面镜成像特点及应用,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.3.4,content_requirement,探究;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p20,KPHY-C003-039,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-3-5,CS-C003-2-3,了解透镜作用并探究凸透镜成像规律及应用,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.3.5,content_requirement,了解;探究;应用,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p20-p21,KPHY-C003-040,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-3-6,CS-C003-2-3,通过实验了解白光组成和色光混合现象,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.3.6,content_requirement,通过实验;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21,KPHY-C003-041,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4,,电和磁,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4,content_requirement,观察;认识;探究;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21-p22,KPHY-C003-042,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-1,CS-C003-2-4,观察摩擦起电并了解静电防止和利用技术,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.1,content_requirement,观察;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21,KPHY-C003-043,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-2,CS-C003-2-4,通过实验认识磁场并知道地磁场,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.2,content_requirement,通过实验;认识;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21,KPHY-C003-044,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-3,CS-C003-2-4,了解电流周围磁场并探究通电螺线管外部磁场方向,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.3,content_requirement,了解;探究,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21,KPHY-C003-045;KPHY-C003-046,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-4,CS-C003-2-4,了解通电导线在磁场中受力及力方向影响因素,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.4,content_requirement,了解;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21,KPHY-C003-047,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-5,CS-C003-2-4,探究导体在磁场中运动产生感应电流条件,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.5,content_requirement,探究;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p21-p22,KPHY-C003-048,pending_review,false,课程标准手工结构化候选条目
CS-C003-2-4-6,CS-C003-2-4,知道电磁波及真空传播速度并了解应用,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-2.4.6,content_requirement,知道;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p22,KPHY-C003-049,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-1,,能量及其转化和转移,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.1,content_requirement,了解;认识;结合实例,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p24-p25,KPHY-C003-051,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-1-1,CS-C003-3-1,了解能量及不同形式并描述与生产生活联系,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.1.1,content_requirement,了解;描述,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p25,KPHY-C003-052,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-1-2,CS-C003-3-1,通过实验认识能量转移和不同形式能量转化,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.1.2,content_requirement,通过实验;认识;列举,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p25,KPHY-C003-052,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-1-3,CS-C003-3-1,结合实例认识功的概念和能量转化转移过程,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.1.3,content_requirement,结合实例;认识;知道,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p25,KPHY-C003-053,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-2,,机械能,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.2,content_requirement,知道;了解;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p25-p26,KPHY-C003-054,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-2-1,CS-C003-3-2,知道动能势能机械能并了解动势能转化,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.2.1,content_requirement,知道;了解;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p25,KPHY-C003-055,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-2-2,CS-C003-3-2,知道机械功和功率并说明其含义,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.2.2,content_requirement,知道;说明,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p26,KPHY-C003-056,pending_review,false,课程标准手工结构化候选条目
CS-C003-3-2-3,CS-C003-3-2,知道机械效率并了解提高机械效率意义和途径,physics,junior_middle_school,2022年版2025年修订,教育部,四-课程内容-3.2.3,content_requirement,知道;了解,物理观念;科学思维;科学探究;科学态度与责任,SRC-C003-001,课标p26,KPHY-C003-057,pending_review,false,课程标准手工结构化候选条目
