subquestion_id,question_id,year,question_number,subquestion_number,question_type,estimated_score,source_file,page_or_location,stem_summary,primary_knowledge_id,primary_exam_point_id,ability_dimensions,confidence,review_status,production_eligible,notes
QPHY-C003-2016-01-S01,QPHY-C003-2016-01,2016,1,whole,choice,,2016广州中考.pdf,真题p1,1.历史上把图1 示意的长度定为1 英寸.1 英寸约为 A. 2.5km B. 2.5m C. 2.5dm D. 2.5cm,KPHY-C003-025,EPHY-C003-001,信息提取;科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-02-S01,QPHY-C003-2016-02,2016,2,whole,choice,,2016广州中考.pdf,真题p1,2.琴弦H 比琴弦L 每秒内振动次数多，推断此时H 比L 发出的声音 A.音调高 B.音调低 C.响度大 D.响度小,KPHY-C003-037,EPHY-C003-003,信息提取;科学推理,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-03-S01,QPHY-C003-2016-03,2016,3,whole,choice,,2016广州中考.pdf,真题p1,3.上层的粒子由下层的粒子构成，下列选项中正确描述物质结构的是,KPHY-C003-017,EPHY-C003-011,科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-04-S01,QPHY-C003-2016-04,2016,4,whole,choice,,2016广州中考.pdf,真题p1,4.使用蓝牙耳机接听手机来电，信号传输示意图如图2. 蓝牙通信的电磁波 A.是蓝光 B.波长比手机通信的电磁波短 C.在真空中传播速度为340m/s D.在真空中传播速度比手机通信的电磁波小 图1 1 英寸 108 1010 1012 1014 频率/Hz 可 见 光 红外线 蓝牙耳机 手机 频率0.8~0.9×109Hz 手机通信 频率2.4~2.48×109Hz 蓝牙通信 无 线 电 波 图2 基地台 A. B. C. D. 原子 电子 原子核 原子核 电子 中子 原子…,KPHY-C003-017,EPHY-C003-011,科学推理,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-05-S01,QPHY-C003-2016-05,2016,5,whole,choice,,2016广州中考.pdf,真题p2,5.图3 所示，电源两端电压恒定.闭合开关，灯泡L1 比灯泡L2 亮，则 A.L1 的电阻比L2 的大 B.L1 两端电压比L2 大 C.若L1 灯丝烧断，L2 两端电压不变 D.若L2 灯丝烧断，通过L1 电流变大,KPHY-C003-065,EPHY-C003-031,模型建构;科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-06-S01,QPHY-C003-2016-06,2016,6,whole,choice,,2016广州中考.pdf,真题p2,6.图4 所示，无风条件下卡通造型的铝箔气球两次均向带电棒靠近但未接触，气球 A．不带电 B．带正电 C．带负电 D．带电情况无法判断,KPHY-C003-043,EPHY-C003-012,科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-07-S01,QPHY-C003-2016-07,2016,7,whole,choice,,2016广州中考.pdf,真题p2,7.下列说法正确的是 A.内燃机是利用电能做功的机械 B.内燃机在做功冲程把内能转化为机械能 C.内燃机在压缩冲程把内能转化为机械能 D.随着技术的进步，内燃机的效率能达到100％,KPHY-C003-059,EPHY-C003-008,科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-08-S01,QPHY-C003-2016-08,2016,8,whole,choice,,2016广州中考.pdf,真题p2,8.将杯中的液态氮（沸点为-196℃）倒入盛有奶浆的碗制作冰淇淋.观察到杯中液态氮沸腾， 杯外壁出现白霜，则 A.杯中液态氮放热 B.杯中液态氮温度不断上升 C.杯中液态氮不断吸热，温度保持-196℃ D.白霜是空气中水蒸气液化形成的 图5 所示，水平地面O 点两侧粗糙程度不同，物体一直受到沿水平方向3N 的力F.物体经过M 点开始计时，每经过相同时间，用虚线框记录物体的位置.物体在M O 段做匀速直线运动.完成,KPHY-C003-005,EPHY-C003-005,科学推理,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-09-S01,QPHY-C003-2016-09,2016,9,whole,choice,,2016广州中考.pdf,真题p2,9、10 题. 9. 物体在 A.OQ 段做匀速直线运动 B.MN 段的速度大于OP 段的 C.MN 段受到的摩擦力为3N D.OQ 段受到摩擦力大小等于F 图4 绝缘线 带负电 - - - - - - 绝缘线 带正电 + + + + + + 电源 图3 L1 L2 图5 N O 3m M 3m P F＝3N F＝3N Q,KPHY-C003-026,EPHY-C003-002,信息提取;数学运算,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-10-S01,QPHY-C003-2016-10,2016,10,whole,choice,,2016广州中考.pdf,真题p3,10.F 在MN、OP 段做功分别为WMN、WOP，功率分别为PMN、POP，则 A.WMN<WOP B.WMN>WOP C.PMN>POP D.PMN<POP,KPHY-C003-027,EPHY-C003-015,科学推理;数学运算,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-11-S01,QPHY-C003-2016-11,2016,11,whole,choice,,2016广州中考.pdf,真题p3,11.图6 所示，静止时Ｕ型管两侧液面相平.下列选项包含图7 中所有合理情形的是 A.乙、丁 B.甲、丙 C.乙、丙 D.甲、丁,KPHY-C003-027,EPHY-C003-014,科学推理;模型建构,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-12-S01,QPHY-C003-2016-12,2016,12,whole,choice,,2016广州中考.pdf,真题p3,12.图8 所示，规格相同的容器装了相同质量的纯净水.用不同加热器加热，忽略散热，得到 图9 所示的水温与加热时间的图线，则 A.乙中温度计示数为32℃ B.加热相同时间，两杯水吸收的热量相同 C.吸收相同的热量，甲杯的水升温比乙杯的多 D.甲杯的水加热2min 与乙杯的水加热3min 吸收的热量相同 第二部分（共64 分） 二、填空 作图题（共25 分）,KPHY-C003-004,EPHY-C003-006,信息提取;实验探究,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-13-S01,QPHY-C003-2016-13,2016,13,1,fill_or_drawing,,2016广州中考.pdf,真题p3,13.（1）图10 所示，光源Q 发出的一束光经平面镜反射在墙上显示出一个光点. ① 画出光源Q 在平面镜中的像. ② 画出镜面反射的光线并标出墙上光点的位置. 凸透镜 图10 Q 墙 平面镜 图11 F F N M 图7 h 甲 气流方向 大气 h 乙 气流方向 大气 h 丙 充气 大气 h 丁 抽气 大气 图6 大气 大气 加热器1 甲 加热器2 乙 图8 40 20 30 50 ºC 温度/℃ 时间/min 甲 乙 20 30 40 图9 3 0 2 1 10,KPHY-C003-040,EPHY-C003-025,科学推理;实验探究,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-13-S02,QPHY-C003-2016-13,2016,13,①,fill_or_drawing,,2016广州中考.pdf,真题p3,同题内小问；需人工进一步拆分,KPHY-C003-040,EPHY-C003-025,科学推理;实验探究,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-13-S03,QPHY-C003-2016-13,2016,13,②,fill_or_drawing,,2016广州中考.pdf,真题p3,同题内小问；需人工进一步拆分,KPHY-C003-040,EPHY-C003-025,科学推理;实验探究,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-14-S01,QPHY-C003-2016-14,2016,14,1,fill_or_drawing,,2016广州中考.pdf,真题p4,14. 利用材料A 制造强力磁铁. （1）加热材料A，温度一直低于其熔点，一段时间后，A 质量不变、体积减小.此过 程中，A 处于_______ （选填“固态”、“液态”、“固液混合态”）.依据公式____， A 的密度_________（选填“增大”、“减小”、“不变”）. （2）图12 所示，A 的每个原子都有N、S 极，相当于磁性很弱的“小磁铁”.“小磁 铁”杂乱无章排列时，A 对外不显磁性.当“小磁铁”按图13 所示同向排列时， A 具有磁性（图14）.强力磁铁不耐…,KPHY-C003-005,EPHY-C003-005,科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-14-S02,QPHY-C003-2016-14,2016,14,2,fill_or_drawing,,2016广州中考.pdf,真题p4,同题内小问；需人工进一步拆分,KPHY-C003-005,EPHY-C003-005,科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-15-S01,QPHY-C003-2016-15,2016,15,1,fill_or_drawing,,2016广州中考.pdf,真题p4,15. 图15 所示，不计质量的硬杆处于水平静止状态. （1）O 为支点，画出FA 的力臂lA. （2） 撤去FA，在B 点施加力FB，硬杆仍可保持水平静止状态. 若FB 大小等于FA， 则FB 的力臂lB_____lA（选填“>”、“=”、“<”）.,KPHY-C003-027,EPHY-C003-014,科学推理;模型建构,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-15-S02,QPHY-C003-2016-15,2016,15,2,fill_or_drawing,,2016广州中考.pdf,真题p4,同题内小问；需人工进一步拆分,KPHY-C003-027,EPHY-C003-014,科学推理;模型建构,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-16-S01,QPHY-C003-2016-16,2016,16,whole,fill_or_drawing,,2016广州中考.pdf,真题p4,16. 图16 中玩具猩猩手中的香蕉以相同大小的速度转动.图17 所示，香蕉（看成点）从最 高位置1 转到最低位置2 的过程中，其动能_____、重力势能____、机械能_______. （选 填“增大”、“不变”、“减小”）,KPHY-C003-055,EPHY-C003-017,科学推理;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-17-S01,QPHY-C003-2016-17,2016,17,whole,fill_or_drawing,,2016广州中考.pdf,真题p4,17. 拆开图16 中玩具，发现电源、开关、发光二极管（简称“LED”）、电动机（符号“○ M ”） 各一个及连接导线. 闭合开关，电动机顺时针转动，LED 亮. 将电动机一端连线断开， 闭合开关，LED 亮. 原子 图12 微 观 强力磁铁A 宏 观 N S 图13 图14 N S N N N N S S S S N N N N S S S S N N N N S S S S N N N N S S S S 图15 FA A B O G 图17 1 2 图16 LED -…,KPHY-C003-017,EPHY-C003-011,科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-18-S01,QPHY-C003-2016-18,2016,18,1,fill_or_drawing,,2016广州中考.pdf,真题p5,18. 对某汽车做测试，只调整轮胎气压，测得单个轮胎 ．．．．数据在表1. 表1（每次单个轮胎对地压力不变） 次数 1 2 3 轮胎气压/×105Pa 4.6 8.1 10.5 地面的受力面积/×10-2m2 3.6 3.0 2.4 对地压强/×105Pa 5.0 6.0 7.5 （1）根据公式_______，单个轮胎对地压力为_______N. （2）根据表1，要减小空车停在水平路面时的对地压强，可行 ．．方法是_____________,KPHY-C003-032,EPHY-C003-020,数学运算;科学推理,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-18-S02,QPHY-C003-2016-18,2016,18,2,fill_or_drawing,,2016广州中考.pdf,真题p5,同题内小问；需人工进一步拆分,KPHY-C003-032,EPHY-C003-020,数学运算;科学推理,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-19-S01,QPHY-C003-2016-19,2016,19,whole,fill_or_drawing,,2016广州中考.pdf,真题p5,19. 被细绳拴着的小球在水平面 ．．．绕O 点做圆周运动，轨迹图如图18 中虚线所示.不计阻力. 某时刻细绳断，小球速度为v.过一段时间小球出现在P 点，速度为v＇ （见图18）. v _____ v＇(选填“>”、“=”、“<”). 作图找出细绳断时小球的位置，用点在轨迹图上表示. 三、解析题（共18 分） 解析题应写出必要的文字说明、公式和重要演算步骤．只写出最后答案的不能得分．有数 值计算的题，演算过程及结果都要在数字的后面写上正确的单位．,KPHY-C003-084,EPHY-C003-040,信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-20-S01,QPHY-C003-2016-20,2016,20,whole,analysis_calculation,,2016广州中考.pdf,真题p3,20 30 50 ºC 温度/℃ 时间/min 甲 乙 20 30 40 图9 3 0 2 1 10,KPHY-C003-084,EPHY-C003-040,信息提取,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2016-21-S01,QPHY-C003-2016-21,2016,21,1,analysis_calculation,,2016广州中考.pdf,真题p6,21. 图20 所示，闭合开关，改变R1 阻值，在表2 中记下几组电流表、电压表的读数. 图21 已作出R2 的U-I 图线. 表2 电 流/A 0. 1 0. 3 0. 4 0. 5 电 压/V 2. 5 1. 5 1. 0 0. 5 （1）求R2 的阻值. （2）根据表2 数据在图21 中描点并连线. （3）电流表示数为0.2A 时，电压UDE=_____、电压UEF=_______. （4）电流表示数为0.4A 时，电压UDF=_______，求50s 内 R1、R2…,KPHY-C003-081,EPHY-C003-032,实验探究;规范表达,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-21-S02,QPHY-C003-2016-21,2016,21,2,analysis_calculation,,2016广州中考.pdf,真题p6,同题内小问；需人工进一步拆分,KPHY-C003-081,EPHY-C003-032,实验探究;规范表达,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-21-S03,QPHY-C003-2016-21,2016,21,3,analysis_calculation,,2016广州中考.pdf,真题p6,同题内小问；需人工进一步拆分,KPHY-C003-081,EPHY-C003-032,实验探究;规范表达,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-21-S04,QPHY-C003-2016-21,2016,21,4,analysis_calculation,,2016广州中考.pdf,真题p6,同题内小问；需人工进一步拆分,KPHY-C003-081,EPHY-C003-032,实验探究;规范表达,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-22-S01,QPHY-C003-2016-22,2016,22,1,experiment_inquiry,,2016广州中考.pdf,真题p6,22.（1）小明按图22 连接实物、接通电路，电流表有示数，电压表示数为0.5V.当移动滑 动变阻器滑片时，电压表示数不变，检查发现只有滑动变阻器接线出错，该错误 是 . A V 图22 图20 A S R2 R1 V F E D U/V I/A 0.1 0.2 0.3 0.4 0.5 1.0 0.5 1.5 2.0 2.5 R2 0 3.0 0.6 3.5 图21 0.7 图23 电源电压4.5V - 3 15 V -- + A -- 0.6 3,KPHY-C003-081,EPHY-C003-032,实验探究;规范表达,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-23-S01,QPHY-C003-2016-23,2016,23,1,experiment_inquiry,,2016广州中考.pdf,真题p7,23.（1）图25 所示，赤道表面地磁场磁感线与水平地面平行指向北方，导线与能测微弱电 流的电流表组成闭合电路，下列哪种操作可让电流表指针摆动？________ （2）科学家猜测，A 地海龟在春季是利用地磁场（图26）向南返回出生地.以下为相关研究. ① 春季A 地某屏蔽磁场的实验室，无磁场环境下海龟无固定游向.把海龟置于模拟地 磁场中（用图27 简化示意），图中1 为磁体N 极，2 为磁体___极.按科学家猜测， 海龟应向___游动（选填“左”、“右”）. ② 地磁场在缓…,KPHY-C003-084,EPHY-C003-040,信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-23-S02,QPHY-C003-2016-23,2016,23,2,experiment_inquiry,,2016广州中考.pdf,真题p7,同题内小问；需人工进一步拆分,KPHY-C003-084,EPHY-C003-040,信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-23-S03,QPHY-C003-2016-23,2016,23,①,experiment_inquiry,,2016广州中考.pdf,真题p7,同题内小问；需人工进一步拆分,KPHY-C003-084,EPHY-C003-040,信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-23-S04,QPHY-C003-2016-23,2016,23,②,experiment_inquiry,,2016广州中考.pdf,真题p7,同题内小问；需人工进一步拆分,KPHY-C003-084,EPHY-C003-040,信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-24-S01,QPHY-C003-2016-24,2016,24,1,experiment_inquiry,,2016广州中考.pdf,真题p8,24. (16 中考)（1）图28 中测力计示数为____N. （2）小明猜测：“图28 中滑轮组提升的物体越轻，机械效率越高”. 设计实验检验其猜测，并填写实验报告. ① 实验目的：_________________ ② 实验步骤（若需要可补充器材）： ③ 滑轮组的机械效率（用所测出的物理量表达）： ____________,KPHY-C003-053,EPHY-C003-018,数学运算;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-24-S02,QPHY-C003-2016-24,2016,24,2,experiment_inquiry,,2016广州中考.pdf,真题p8,同题内小问；需人工进一步拆分,KPHY-C003-053,EPHY-C003-018,数学运算;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-24-S03,QPHY-C003-2016-24,2016,24,①,experiment_inquiry,,2016广州中考.pdf,真题p8,同题内小问；需人工进一步拆分,KPHY-C003-053,EPHY-C003-018,数学运算;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-24-S04,QPHY-C003-2016-24,2016,24,②,experiment_inquiry,,2016广州中考.pdf,真题p8,同题内小问；需人工进一步拆分,KPHY-C003-053,EPHY-C003-018,数学运算;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2016-24-S05,QPHY-C003-2016-24,2016,24,③,experiment_inquiry,,2016广州中考.pdf,真题p8,同题内小问；需人工进一步拆分,KPHY-C003-053,EPHY-C003-018,数学运算;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-01-S01,QPHY-C003-2017-01,2017,1,whole,choice,,2017广州中考.pdf,真题p1,1．答题前，考生务必在答题卡上用黑色字迹的签字笔或钢笔填写自己的考生号、姓名； 填写考点考场号、座位号；再用2B铅笔把对应该两号码的标号涂黑．,KPHY-C003-084,EPHY-C003-040,信息提取,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2017-02-S01,QPHY-C003-2017-02,2017,2,whole,choice,,2017广州中考.pdf,真题p1,2．第一部分每小题选出答案后，用2B铅笔把答题卡上对应题目的答案标号涂黑；如需 改动，用橡皮擦干净后，再选涂其他答案；不能答在试卷上．,KPHY-C003-084,EPHY-C003-040,信息提取,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2017-03-S01,QPHY-C003-2017-03,2017,3,whole,choice,,2017广州中考.pdf,真题p1,3．第二部分答案必须写在答题卡各题目指定区域内的相应位置上；如需改动，先划掉原来 的答案，然后再写上新的答案，改动的答案也不能超出指定的区域；除作图可用2B铅笔外，其 他都必须用黑色字迹钢笔或签字笔作答．不准使用涂改液．不按以上要求作答的答案无效．,KPHY-C003-084,EPHY-C003-040,信息提取,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2017-04-S01,QPHY-C003-2017-04,2017,4,whole,choice,,2017广州中考.pdf,真题p1,4．考生必须保持答题卡的整洁．考试结束后，将本试卷和答题卡一并交回．,KPHY-C003-084,EPHY-C003-040,信息提取,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2017-05-S01,QPHY-C003-2017-05,2017,5,whole,choice,,2017广州中考.pdf,真题p1,5．全卷共24 小题，请考生检查题数． 第一部分 （共36 分） 一、选择题（每小题3 分） 每小题给出的四个选项中，只有一项最符合题意 1．为了避免人体肩部受到伤害，专家建议人肩负的书包总质量不要超过人体质量的 15%．根据建议，你估计中学生肩负的书包总质量通常不要超过 A．9t B．9kg C．9g D．9mg 2．如图1，手机与音叉的位置保持不变．利用手机软件测出音叉发出的声音从30dB 变 为50dB．说明音叉振动的 A．振幅变大 B．振幅变小 C．频率变大 D．频…,KPHY-C003-037,EPHY-C003-003,信息提取;科学推理,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-06-S01,QPHY-C003-2017-06,2017,6,whole,choice,,2017广州中考.pdf,真题p2,6．甲、乙两杯水温度各为40℃、80℃．下列说法正确的是 A．只有加热才能使水升温 B．甲杯中水的内能一定比乙杯中的小 C．乙杯中水的温度降低，水的内能一定减小 D．甲杯中的水分子运动一定比乙杯中的剧烈,KPHY-C003-023,EPHY-C003-007,科学推理,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2017-07-S01,QPHY-C003-2017-07,2017,7,whole,choice,,2017广州中考.pdf,真题p2,7．图5 中小球相对于水平桌面静止．小红通过观察，作出如下判断．正确的是 A．窗外另一列车相对她不动，则她坐的车一定是对地静止的 B．窗外另一列车相对她向东行驶，则她坐的车一定对地向西行驶 C．小球突然“自动”向东滚动，则她坐的车一定向西启动 D．小球突然“自动”滚动，则她坐的车运动状态一定发生了改变,KPHY-C003-030,EPHY-C003-016,科学推理;模型建构,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-08-S01,QPHY-C003-2017-08,2017,8,whole,choice,,2017广州中考.pdf,真题p2,8．图6 是标准大气压下，质量为1g 的某液体的体积—温度图，以下说法正确的是 A．4℃时，液体密度最小 B．温度升高，液体密度不变 C．1℃时液体的体积比5℃时的大 D．由1℃升高到8℃，液体体积一直变大 图5 小球 小红 水平运动 a 图3 磁感线 磁感线 图4 B A C D 磁感线 磁感线 0.9999 体积/cm3 0 温度/℃ 1.0005 1.0004 1.0003 1.0002 1.0001 1.0000 2 4 6 8 10 12 图6,KPHY-C003-033,EPHY-C003-021,科学推理;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-09-S01,QPHY-C003-2017-09,2017,9,whole,choice,,2017广州中考.pdf,真题p3,9．甲、乙两物体质量都为1kg，丙物体质量为2kg， 三个物体温度都升高1℃，吸收热量如图7．以下说法正 确的是 A．乙的比热容与丙的相等 B．甲的比热容比乙的大 C．甲的温度升高1℃，需吸收2000J 的热量 D．甲、乙的温度都降低1℃，乙比甲放出的热量多,KPHY-C003-060,EPHY-C003-009,数学运算;科学推理,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-10-S01,QPHY-C003-2017-10,2017,10,whole,choice,,2017广州中考.pdf,真题p2,10 12 图6,KPHY-C003-084,EPHY-C003-040,信息提取,0.76,pending_review,false,candidate subquestion row
QPHY-C003-2017-11-S01,QPHY-C003-2017-11,2017,11,whole,choice,,2017广州中考.pdf,真题p3,11．蜡烛放在如图10 所示位置，通过凸透镜成倒立、缩小的像．小红画了图中的光路．下 列说法正确的是 A．小红画的光路是正确的 B．透镜成的是虚像 C．透镜的焦距小于10cm D．透镜的焦距大于20cm,KPHY-C003-040,EPHY-C003-025,科学推理;实验探究,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-12-S01,QPHY-C003-2017-12,2017,12,whole,choice,,2017广州中考.pdf,真题p3,12．图11 中力F1 水平拉动重为G 的物体A 在水平路面匀速移动了s．改用滑轮组拉动 A 在同一路面匀速移动了s，拉力为F2（如图12）．此过程滑轮组 A．总功为F2s B．额外功为F1s C．机械效率为 ( ) 2 3 Gs F s × D．额外功为3F2s-F1s 2000 物体 Q /J 甲 乙 丙 图7 1000 4000 5000 3000 10 20 10 20 30 cm 0 30 图10 图12 A F2 s A F1 s 图11,KPHY-C003-053,EPHY-C003-018,数学运算;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-13-S01,QPHY-C003-2017-13,2017,13,1,fill_or_drawing,,2017广州中考.pdf,真题p4,13．如图13，一束光从空气射到水面O 点，反射光线在容器壁上形成一光点A．（1）画出 反射光线及对应的入射光线；（2）大致画出该入射光线进入水的折射光线；（3）A 在水中的 像到A 的距离为_________cm．,KPHY-C003-038,EPHY-C003-023,科学推理;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-13-S02,QPHY-C003-2017-13,2017,13,2,fill_or_drawing,,2017广州中考.pdf,真题p4,同题内小问；需人工进一步拆分,KPHY-C003-038,EPHY-C003-023,科学推理;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-13-S03,QPHY-C003-2017-13,2017,13,3,fill_or_drawing,,2017广州中考.pdf,真题p4,同题内小问；需人工进一步拆分,KPHY-C003-038,EPHY-C003-023,科学推理;信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-14-S01,QPHY-C003-2017-14,2017,14,①,fill_or_drawing,,2017广州中考.pdf,真题p4,14．以下是关于相对湿度的资料 ①若1m3 的空气能容纳水蒸气为8g，而实际容纳了4g，则相对湿度为50%． ②相对湿度越大，水蒸发得越慢. 如图14，其中一温度计液泡由浸透水的布料覆盖（湿球温度计），另一温度计的液泡直 接暴露在空气中（干球温度计），利用两温度计的示数及下表可得当时的相对湿度． 1 2 3 14 89 79 69 16 90 80 71 18 91 81 72 20 91 82 74 （1）图14 干球温度计示数为16℃，湿球温度计示数为_______℃．…,KPHY-C003-084,EPHY-C003-040,信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-14-S02,QPHY-C003-2017-14,2017,14,②,fill_or_drawing,,2017广州中考.pdf,真题p4,同题内小问；需人工进一步拆分,KPHY-C003-084,EPHY-C003-040,信息提取,0.86,pending_review,false,candidate subquestion row
QPHY-C003-2017-14-S03,QPHY-C003-2017-14,2017,14,1,fill_or_drawing,,2017广州中考.pdf,真题p4,同题内小问；需人工进一步拆分,KPHY-C003-084,EPHY-C003-040,信息提取,0.86,pending_review,false,candidate subquestion row
