suggestion_id,exam_point_id,knowledge_stable_ids,suggestion_summary,target_stage,source_material_ids,evidence_locations,confidence,review_status,production_eligible,notes
TSG-C003-001,EPHY-C003-001,KPHY-C003-025;KPHY-C003-014,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005,2016Q01,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-002,EPHY-C003-002,KPHY-C003-026,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-008;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025,2016Q09;2017Q17;2017Q19;2017Q24;2019Q15;2020Q20;2021Q16;2022Q04;2022Q13;2022Q15;2023Q13,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-003,EPHY-C003-003,KPHY-C003-037,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-008;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-028;SRC-C003-031,2016Q02;2017Q05;2019Q05;2020Q05;2021Q03;2022Q07;2023Q05;2024Q04;2025Q04,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-004,EPHY-C003-004,KPHY-C003-036,用频率-音调、振幅/声强-响度双维表训练非连续文本判断,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-005,EPHY-C003-005,KPHY-C003-005;KPHY-C003-006;KPHY-C003-007,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-025;SRC-C003-028;SRC-C003-031,2016Q08;2016Q14;2023Q09;2024Q05;2025Q16,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-006,EPHY-C003-006,KPHY-C003-004;KPHY-C003-005;KPHY-C003-006;KPHY-C003-082,按问题-猜想-变量-证据-结论-评估流程训练实验题表达,中考复习与日常教学,SRC-C003-005;SRC-C003-014;SRC-C003-017;SRC-C003-019,2016Q12;2019Q07;2020Q19;2021Q15,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-007,EPHY-C003-007,KPHY-C003-023;KPHY-C003-059,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-008,2017Q06,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-008,EPHY-C003-008,KPHY-C003-059,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005,2016Q07,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-009,EPHY-C003-009,KPHY-C003-060,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-008;SRC-C003-011;SRC-C003-025,2017Q09;2018Q23;2023Q10,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-010,EPHY-C003-010,KPHY-C003-061;KPHY-C003-070,用能量流向图和输入/有用/损失三栏表训练,中考复习与日常教学,SRC-C003-014,2019Q09,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-011,EPHY-C003-011,KPHY-C003-017;KPHY-C003-018,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-011;SRC-C003-017;SRC-C003-019,2016Q03;2016Q04;2016Q17;2018Q06;2020Q24;2021Q02,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-012,EPHY-C003-012,KPHY-C003-043,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-028,2016Q06;2021Q04;2022Q08;2023Q04;2024Q07,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-013,EPHY-C003-013,KPHY-C003-028;KPHY-C003-029,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-011;SRC-C003-017;SRC-C003-019,2018Q07;2018Q08;2020Q16;2021Q12,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-014,EPHY-C003-014,KPHY-C003-027;KPHY-C003-029,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-008;SRC-C003-011;SRC-C003-014;SRC-C003-019;SRC-C003-022;SRC-C003-031,2016Q11;2016Q15;2017Q15;2018Q14;2019Q08;2021Q10;2021Q13;2022Q17;2025Q09,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-015,EPHY-C003-015,KPHY-C003-027;KPHY-C003-053,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-031,2016Q10;2025Q07,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-016,EPHY-C003-016,KPHY-C003-030,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-008;SRC-C003-011;SRC-C003-017;SRC-C003-022,2017Q07;2018Q11;2020Q06;2022Q05,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-017,EPHY-C003-017,KPHY-C003-055;KPHY-C003-070,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-011;SRC-C003-014;SRC-C003-017;SRC-C003-025;SRC-C003-028,2016Q16;2018Q10;2019Q21;2020Q07;2023Q07;2024Q12,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-018,EPHY-C003-018,KPHY-C003-053;KPHY-C003-056;KPHY-C003-057,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-008;SRC-C003-011;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-025;SRC-C003-028,2016Q24;2017Q12;2018Q17;2019Q20;2020Q21;2021Q06;2023Q06;2024Q16,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-019,EPHY-C003-019,KPHY-C003-031;KPHY-C003-083,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-020,EPHY-C003-020,KPHY-C003-032,用受力图和条件表先建模，再选择公式；训练液体压强与浮力对比题,中考复习与日常教学,SRC-C003-005;SRC-C003-011;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-031,2016Q18;2018Q18;2019Q18;2020Q11;2021Q05;2022Q14;2023Q14;2025Q10,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-021,EPHY-C003-021,KPHY-C003-033,用受力图和条件表先建模，再选择公式；训练液体压强与浮力对比题,中考复习与日常教学,SRC-C003-008;SRC-C003-011;SRC-C003-014;SRC-C003-022;SRC-C003-028,2017Q08;2018Q15;2019Q17;2019Q19;2022Q06;2024Q14,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-022,EPHY-C003-022,KPHY-C003-034,用受力图和条件表先建模，再选择公式；训练液体压强与浮力对比题,中考复习与日常教学,SRC-C003-011;SRC-C003-014;SRC-C003-022;SRC-C003-025;SRC-C003-028;SRC-C003-031,2018Q21;2019Q11;2022Q10;2023Q17;2024Q06;2025Q18,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-023,EPHY-C003-023,KPHY-C003-038;KPHY-C003-041;KPHY-C003-049,用三条特殊光线和物距区间表进行变式训练,中考复习与日常教学,SRC-C003-008;SRC-C003-011;SRC-C003-017;SRC-C003-022;SRC-C003-028,2017Q13;2018Q13;2020Q14;2022Q11;2024Q11,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-024,EPHY-C003-024,KPHY-C003-039,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-025,EPHY-C003-025,KPHY-C003-040,用三条特殊光线和物距区间表进行变式训练,中考复习与日常教学,SRC-C003-005;SRC-C003-008;SRC-C003-011;SRC-C003-014;SRC-C003-017;SRC-C003-025;SRC-C003-031,2016Q13;2017Q11;2018Q12;2018Q20;2019Q14;2020Q13;2023Q11;2025Q05,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-026,EPHY-C003-026,KPHY-C003-044;KPHY-C003-045,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-017;SRC-C003-022;SRC-C003-025,2020Q09;2022Q12;2023Q08,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-027,EPHY-C003-027,KPHY-C003-046,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-028,EPHY-C003-028,KPHY-C003-047,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-029,EPHY-C003-029,KPHY-C003-048,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-014;SRC-C003-017,2019Q06;2020Q22,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-030,EPHY-C003-030,KPHY-C003-049,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-031,2025Q08,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-031,EPHY-C003-031,KPHY-C003-065,先画等效电路，再列已知量和目标量；用故障现象反推支路状态,中考复习与日常教学,SRC-C003-005;SRC-C003-008;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-028;SRC-C003-031,2016Q05;2017Q23;2019Q12;2020Q23;2021Q09;2022Q09;2023Q15;2023Q16;2024Q15;2025Q06;2025Q17,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-032,EPHY-C003-032,KPHY-C003-081;KPHY-C003-064,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-028,2016Q21;2016Q22;2024Q09,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-033,EPHY-C003-033,KPHY-C003-065,先画等效电路，再列已知量和目标量；用故障现象反推支路状态,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-034,EPHY-C003-034,KPHY-C003-066;KPHY-C003-084,先画等效电路，再列已知量和目标量；用故障现象反推支路状态,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-035,EPHY-C003-035,KPHY-C003-065;KPHY-C003-066,先画等效电路，再列已知量和目标量；用故障现象反推支路状态,中考复习与日常教学,SRC-C003-028,2024Q08,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-036,EPHY-C003-036,KPHY-C003-067,先画等效电路，再列已知量和目标量；用故障现象反推支路状态,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-037,EPHY-C003-037,KPHY-C003-068;KPHY-C003-067,先画等效电路，再列已知量和目标量；用故障现象反推支路状态,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-038,EPHY-C003-038,KPHY-C003-069,先画等效电路，再列已知量和目标量；用故障现象反推支路状态,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-039,EPHY-C003-039,KPHY-C003-071;KPHY-C003-072;KPHY-C003-073,用能量流向图和输入/有用/损失三栏表训练,中考复习与日常教学,SRC-C003-017;SRC-C003-019;SRC-C003-031,2020Q17;2021Q01;2025Q11,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-040,EPHY-C003-040,KPHY-C003-084,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-005;SRC-C003-008;SRC-C003-011;SRC-C003-014;SRC-C003-017;SRC-C003-019;SRC-C003-022;SRC-C003-025;SRC-C003-028;SRC-C003-031,2016Q19;2016Q20;2016Q23;2017Q01;2017Q02;2017Q03;2017Q04;2017Q10;2017Q14;2017Q16;2017Q18;2017Q20;2017Q21;2017Q22;2018Q01;2018Q02;2018Q03;2018Q04;2018Q05;2018Q09;2018Q16;2018Q19;2018Q22;2018Q24;2019Q01;2019Q02;2019Q03;2019Q04;2019Q10;2019Q13;2019Q22;2019Q23;2019Q24;2020Q01;2020Q02;2020Q03;2020Q04;2020Q08;2020Q10;2020Q12,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-041,EPHY-C003-041,KPHY-C003-081,按问题-猜想-变量-证据-结论-评估流程训练实验题表达,中考复习与日常教学,SRC-C003-014,2019Q16,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-042,EPHY-C003-042,KPHY-C003-083,按问题-猜想-变量-证据-结论-评估流程训练实验题表达,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-043,EPHY-C003-043,KPHY-C003-084,按问题-猜想-变量-证据-结论-评估流程训练实验题表达,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-044,EPHY-C003-044,KPHY-C003-001;KPHY-C003-020;KPHY-C003-050,按问题-猜想-变量-证据-结论-评估流程训练实验题表达,中考复习与日常教学,SRC-C003-028,2024Q17,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-045,EPHY-C003-045,KPHY-C003-100;KPHY-C003-101,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-046,EPHY-C003-046,KPHY-C003-100;KPHY-C003-102,增加真实情境下的一题多标注训练，要求学生写出模型和证据,中考复习与日常教学,SRC-C003-031,2025Q14,0.66,pending_review,false,candidate teaching suggestion
TSG-C003-047,EPHY-C003-047,KPHY-C003-100;KPHY-C003-103,用能量流向图和输入/有用/损失三栏表训练,中考复习与日常教学,,来源定位不足,0.66,pending_review,false,candidate teaching suggestion
