answer_id,question_id,subquestion_id,year,question_number,answer_value,scoring_point_summary,source_material_ids,source_file,evidence_locations,confidence,review_status,production_eligible,notes
ANS-QPHY-C003-2016-01,QPHY-C003-2016-01,,2016,1,D,选择题参考答案：D,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-02,QPHY-C003-2016-02,,2016,2,A,选择题参考答案：A,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-03,QPHY-C003-2016-03,,2016,3,A,选择题参考答案：A,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-04,QPHY-C003-2016-04,,2016,4,B,选择题参考答案：B,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-05,QPHY-C003-2016-05,,2016,5,C,选择题参考答案：C,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-06,QPHY-C003-2016-06,,2016,6,A,选择题参考答案：A,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-07,QPHY-C003-2016-07,,2016,7,B,选择题参考答案：B,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-08,QPHY-C003-2016-08,,2016,8,C,选择题参考答案：C,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-09,QPHY-C003-2016-09,,2016,9,C,选择题参考答案：C,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-10,QPHY-C003-2016-10,,2016,10,D,选择题参考答案：D,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-11,QPHY-C003-2016-11,,2016,11,B,选择题参考答案：B,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-12,QPHY-C003-2016-12,,2016,12,D,选择题参考答案：D,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-13,QPHY-C003-2016-13,,2016,13,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-14,QPHY-C003-2016-14,,2016,14,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-15,QPHY-C003-2016-15,,2016,15,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-16,QPHY-C003-2016-16,,2016,16,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-17,QPHY-C003-2016-17,,2016,17,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-18,QPHY-C003-2016-18,,2016,18,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-19,QPHY-C003-2016-19,,2016,19,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-20,QPHY-C003-2016-20,,2016,20,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-21,QPHY-C003-2016-21,,2016,21,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-22,QPHY-C003-2016-22,,2016,22,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-23,QPHY-C003-2016-23,,2016,23,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2016-24,QPHY-C003-2016-24,,2016,24,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-006,2016广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-01,QPHY-C003-2017-01,,2017,1,B,选择题参考答案：B,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-02,QPHY-C003-2017-02,,2017,2,A,选择题参考答案：A,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-03,QPHY-C003-2017-03,,2017,3,D,选择题参考答案：D,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-04,QPHY-C003-2017-04,,2017,4,B,选择题参考答案：B,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-05,QPHY-C003-2017-05,,2017,5,A,选择题参考答案：A,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-06,QPHY-C003-2017-06,,2017,6,C,选择题参考答案：C,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-07,QPHY-C003-2017-07,,2017,7,D,选择题参考答案：D,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-08,QPHY-C003-2017-08,,2017,8,C,选择题参考答案：C,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-09,QPHY-C003-2017-09,,2017,9,B,选择题参考答案：B,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-10,QPHY-C003-2017-10,,2017,10,A,选择题参考答案：A,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-11,QPHY-C003-2017-11,,2017,11,C,选择题参考答案：C,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-12,QPHY-C003-2017-12,,2017,12,D,选择题参考答案：D,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-13,QPHY-C003-2017-13,,2017,13,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-14,QPHY-C003-2017-14,,2017,14,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-15,QPHY-C003-2017-15,,2017,15,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-16,QPHY-C003-2017-16,,2017,16,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-17,QPHY-C003-2017-17,,2017,17,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-18,QPHY-C003-2017-18,,2017,18,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-19,QPHY-C003-2017-19,,2017,19,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-20,QPHY-C003-2017-20,,2017,20,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-21,QPHY-C003-2017-21,,2017,21,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-22,QPHY-C003-2017-22,,2017,22,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-23,QPHY-C003-2017-23,,2017,23,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2017-24,QPHY-C003-2017-24,,2017,24,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-009,2017广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-01,QPHY-C003-2018-01,,2018,1,D,选择题参考答案：D,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-02,QPHY-C003-2018-02,,2018,2,A,选择题参考答案：A,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-03,QPHY-C003-2018-03,,2018,3,D,选择题参考答案：D,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-04,QPHY-C003-2018-04,,2018,4,B,选择题参考答案：B,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-05,QPHY-C003-2018-05,,2018,5,A,选择题参考答案：A,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-06,QPHY-C003-2018-06,,2018,6,D,选择题参考答案：D,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-07,QPHY-C003-2018-07,,2018,7,C,选择题参考答案：C,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-08,QPHY-C003-2018-08,,2018,8,B,选择题参考答案：B,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-09,QPHY-C003-2018-09,,2018,9,C,选择题参考答案：C,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-10,QPHY-C003-2018-10,,2018,10,B,选择题参考答案：B,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-11,QPHY-C003-2018-11,,2018,11,C,选择题参考答案：C,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-12,QPHY-C003-2018-12,,2018,12,A,选择题参考答案：A,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-13,QPHY-C003-2018-13,,2018,13,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-14,QPHY-C003-2018-14,,2018,14,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-15,QPHY-C003-2018-15,,2018,15,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-16,QPHY-C003-2018-16,,2018,16,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-17,QPHY-C003-2018-17,,2018,17,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-18,QPHY-C003-2018-18,,2018,18,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-19,QPHY-C003-2018-19,,2018,19,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-20,QPHY-C003-2018-20,,2018,20,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-21,QPHY-C003-2018-21,,2018,21,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-22,QPHY-C003-2018-22,,2018,22,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-23,QPHY-C003-2018-23,,2018,23,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2018-24,QPHY-C003-2018-24,,2018,24,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-012,2018广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-01,QPHY-C003-2019-01,,2019,1,D,选择题参考答案：D,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-02,QPHY-C003-2019-02,,2019,2,C,选择题参考答案：C,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-03,QPHY-C003-2019-03,,2019,3,D,选择题参考答案：D,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-04,QPHY-C003-2019-04,,2019,4,D,选择题参考答案：D,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-05,QPHY-C003-2019-05,,2019,5,A,选择题参考答案：A,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-06,QPHY-C003-2019-06,,2019,6,D,选择题参考答案：D,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-07,QPHY-C003-2019-07,,2019,7,A,选择题参考答案：A,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-08,QPHY-C003-2019-08,,2019,8,B,选择题参考答案：B,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-09,QPHY-C003-2019-09,,2019,9,A,选择题参考答案：A,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-10,QPHY-C003-2019-10,,2019,10,B,选择题参考答案：B,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-11,QPHY-C003-2019-11,,2019,11,C,选择题参考答案：C,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-12,QPHY-C003-2019-12,,2019,12,A,选择题参考答案：A,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.92,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-13,QPHY-C003-2019-13,,2019,13,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-14,QPHY-C003-2019-14,,2019,14,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-15,QPHY-C003-2019-15,,2019,15,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-16,QPHY-C003-2019-16,,2019,16,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-17,QPHY-C003-2019-17,,2019,17,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-18,QPHY-C003-2019-18,,2019,18,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-19,QPHY-C003-2019-19,,2019,19,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-20,QPHY-C003-2019-20,,2019,20,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-21,QPHY-C003-2019-21,,2019,21,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-22,QPHY-C003-2019-22,,2019,22,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-23,QPHY-C003-2019-23,,2019,23,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2019-24,QPHY-C003-2019-24,,2019,24,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-015,2019广州中考答案.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2020-01,QPHY-C003-2020-01,,2020,1,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-017,2020广州中考（含答案）.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2020-02,QPHY-C003-2020-02,,2020,2,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-017,2020广州中考（含答案）.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2020-03,QPHY-C003-2020-03,,2020,3,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-017,2020广州中考（含答案）.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2020-04,QPHY-C003-2020-04,,2020,4,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-017,2020广州中考（含答案）.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2020-05,QPHY-C003-2020-05,,2020,5,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-017,2020广州中考（含答案）.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2020-06,QPHY-C003-2020-06,,2020,6,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-017,2020广州中考（含答案）.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2020-07,QPHY-C003-2020-07,,2020,7,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-017,2020广州中考（含答案）.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2020-08,QPHY-C003-2020-08,,2020,8,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-017,2020广州中考（含答案）.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
ANS-QPHY-C003-2020-09,QPHY-C003-2020-09,,2020,9,,参考答案/解析文件可定位；非选择题评分点需人工复核,SRC-C003-017,2020广州中考（含答案）.pdf,参考答案文件对应题号,0.62,pending_review,false,candidate answer/scoring row
