issue_id,entity_type,entity_id,issue_type,issue_summary,severity,recommended_action,review_status,production_eligible,question_id,original_paper_file,original_paper_page,answer_source_file,answer_evidence_location,year_report_evidence_location,difficulty_value,discrimination_value,metric_review_summary,common_errors_review,teaching_suggestion_review,evidence_decision
QI-C003-0001,year_report_observation,YRO-C003-2016-01,year_report_metric_review_required,已文档核验2016Q01: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p2; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-01,2016广州中考.pdf,真题p1,2016广州中考答案.pdf,参考答案文件对应题号,年报p2;文档核验:2016Q01逐题分析,0.9511,0.1632,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0002,year_report_observation,YRO-C003-2016-02,year_report_metric_review_required,已文档核验2016Q02: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p3; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-02,2016广州中考.pdf,真题p1,2016广州中考答案.pdf,参考答案文件对应题号,年报p3;文档核验:2016Q02逐题分析,0.7406,0.5578,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0003,year_report_observation,YRO-C003-2016-03,year_report_metric_review_required,已文档核验2016Q03: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p4; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-03,2016广州中考.pdf,真题p1,2016广州中考答案.pdf,参考答案文件对应题号,年报p4;文档核验:2016Q03逐题分析,0.6306,0.7562,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0004,year_report_observation,YRO-C003-2016-04,year_report_metric_review_required,已文档核验2016Q04: 原卷真题p1; 答案2016广州中考答案.pdf; 年报p6; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-04,2016广州中考.pdf,真题p1,2016广州中考答案.pdf,参考答案文件对应题号,年报p6;文档核验:2016Q04逐题分析,0.6624,0.6433,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0005,year_report_observation,YRO-C003-2016-05,year_report_metric_review_required,已文档核验2016Q05: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p9; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-05,2016广州中考.pdf,真题p2,2016广州中考答案.pdf,参考答案文件对应题号,年报p9;文档核验:2016Q05逐题分析,0.5142,0.6821,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0006,year_report_observation,YRO-C003-2016-06,year_report_metric_review_required,已文档核验2016Q06: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p10; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-06,2016广州中考.pdf,真题p2,2016广州中考答案.pdf,参考答案文件对应题号,年报p10;文档核验:2016Q06逐题分析,0.7765,0.4123,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0007,year_report_observation,YRO-C003-2016-07,year_report_metric_review_required,已文档核验2016Q07: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p11; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-07,2016广州中考.pdf,真题p2,2016广州中考答案.pdf,参考答案文件对应题号,年报p11;文档核验:2016Q07逐题分析,0.7969,0.4992,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0008,year_report_observation,YRO-C003-2016-08,year_report_metric_review_required,已文档核验2016Q08: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p12; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-08,2016广州中考.pdf,真题p2,2016广州中考答案.pdf,参考答案文件对应题号,年报p12;文档核验:2016Q08逐题分析,0.5362,0.6818,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0009,year_report_observation,YRO-C003-2016-09,year_report_metric_review_required,已文档核验2016Q09: 原卷真题p2; 答案2016广州中考答案.pdf; 年报p14; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-09,2016广州中考.pdf,真题p2,2016广州中考答案.pdf,参考答案文件对应题号,年报p14;文档核验:2016Q09逐题分析,0.7993,0.5629,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_complete
QI-C003-0010,year_report_observation,YRO-C003-2016-10,year_report_metric_review_required,已文档核验2016Q10: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p14; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-10,2016广州中考.pdf,真题p3,2016广州中考答案.pdf,参考答案文件对应题号,年报p14;文档核验:2016Q10逐题分析,0.6446,0.7458,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_complete
QI-C003-0011,year_report_observation,YRO-C003-2016-11,year_report_metric_review_required,已文档核验2016Q11: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p15; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-11,2016广州中考.pdf,真题p3,2016广州中考答案.pdf,参考答案文件对应题号,年报p15;文档核验:2016Q11逐题分析,0.7437,0.5034,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0012,year_report_observation,YRO-C003-2016-12,year_report_metric_review_required,已文档核验2016Q12: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p17; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-12,2016广州中考.pdf,真题p3,2016广州中考答案.pdf,参考答案文件对应题号,年报p17;文档核验:2016Q12逐题分析,0.6246,0.4481,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_complete
QI-C003-0013,year_report_observation,YRO-C003-2016-13,year_report_discrimination_review_required,已文档核验2016Q13: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p19; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-13,2016广州中考.pdf,真题p3,2016广州中考答案.pdf,参考答案文件对应题号,年报p19;文档核验:2016Q13逐题分析,0.7569,0.5823,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0014,year_report_observation,YRO-C003-2016-14,year_report_human_confirmation_required,已文档核验2016Q14: 原卷真题p4; 答案2016广州中考答案.pdf; 年报p22; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-14,2016广州中考.pdf,真题p4,2016广州中考答案.pdf,参考答案文件对应题号,年报p22;文档核验:2016Q14逐题分析,0.6113,0.6207,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0015,year_report_observation,YRO-C003-2016-15,year_report_discrimination_review_required,已文档核验2016Q15: 原卷真题p4; 答案2016广州中考答案.pdf; 年报p24; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-15,2016广州中考.pdf,真题p4,2016广州中考答案.pdf,参考答案文件对应题号,年报p24;文档核验:2016Q15逐题分析,0.6381,0.6875,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0016,year_report_observation,YRO-C003-2016-16,year_report_discrimination_review_required,已文档核验2016Q16: 原卷真题p4; 答案2016广州中考答案.pdf; 年报p25; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-16,2016广州中考.pdf,真题p4,2016广州中考答案.pdf,参考答案文件对应题号,年报p25;文档核验:2016Q16逐题分析,0.5801,0.558,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0017,year_report_observation,YRO-C003-2016-17,year_report_human_confirmation_required,已文档核验2016Q17: 原卷真题p4; 答案2016广州中考答案.pdf; 年报p26; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-17,2016广州中考.pdf,真题p4,2016广州中考答案.pdf,参考答案文件对应题号,年报p26;文档核验:2016Q17逐题分析,0.6613,0.6067,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0018,year_report_observation,YRO-C003-2016-18,year_report_human_confirmation_required,已文档核验2016Q18: 原卷真题p5; 答案2016广州中考答案.pdf; 年报p28; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-18,2016广州中考.pdf,真题p5,2016广州中考答案.pdf,参考答案文件对应题号,年报p28;文档核验:2016Q18逐题分析,0.4885,0.6737,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0019,year_report_observation,YRO-C003-2016-19,year_report_human_confirmation_required,已文档核验2016Q19: 原卷真题p5; 答案2016广州中考答案.pdf; 年报p30; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-19,2016广州中考.pdf,真题p5,2016广州中考答案.pdf,参考答案文件对应题号,年报p30;文档核验:2016Q19逐题分析,0.5105,0.66,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0020,year_report_observation,YRO-C003-2016-20,year_report_metric_review_required,已文档核验2016Q20: 原卷真题p3; 答案2016广州中考答案.pdf; 年报p17; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-20,2016广州中考.pdf,真题p3,2016广州中考答案.pdf,参考答案文件对应题号,年报p17;文档核验:2016Q20逐题分析,0.6246,0.4481,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_complete
QI-C003-0021,year_report_observation,YRO-C003-2016-21,year_report_metric_review_required,已文档核验2016Q21: 原卷真题p6; 答案2016广州中考答案.pdf; 年报p35; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-21,2016广州中考.pdf,真题p6,2016广州中考答案.pdf,参考答案文件对应题号,年报p35;文档核验:2016Q21逐题分析,0.6687,0.7395,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0022,year_report_observation,YRO-C003-2016-22,year_report_metric_review_required,已文档核验2016Q22: 原卷真题p6; 答案2016广州中考答案.pdf; 年报p39; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-22,2016广州中考.pdf,真题p6,2016广州中考答案.pdf,参考答案文件对应题号,年报p39;文档核验:2016Q22逐题分析,0.683,0.6081,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0023,year_report_observation,YRO-C003-2016-23,year_report_page_unverified,已文档核验2016Q23: 原卷真题p7; 答案2016广州中考答案.pdf; 年报p43-p45;文档核验:2016Q23逐题分析; 难度/区分度已摘录或确认缺项; 错误/建议已摘录,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-23,2016广州中考.pdf,真题p7,2016广州中考答案.pdf,参考答案文件对应题号,年报p43-p45;文档核验:2016Q23逐题分析,0.4634,0.4124,difficulty:准确摘录; discrimination:准确摘录,已摘录,已摘录,resolved_with_verified_evidence
QI-C003-0024,year_report_observation,YRO-C003-2016-24,year_report_human_confirmation_required,已文档核验2016Q24: 原卷真题p8; 答案2016广州中考答案.pdf; 年报p45; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2016-24,2016广州中考.pdf,真题p8,2016广州中考答案.pdf,参考答案文件对应题号,年报p45;文档核验:2016Q24逐题分析,0.5217,0.6693,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0025,year_report_observation,YRO-C003-2017-01,year_report_metric_review_required,已文档核验2017Q01: 原卷真题p1; 答案2017广州中考答案.pdf; 年报p2; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-01,2017广州中考.pdf,真题p1,2017广州中考答案.pdf,参考答案文件对应题号,年报p2;文档核验:2017Q01逐题分析,0.8988,0.3031,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0026,year_report_observation,YRO-C003-2017-02,year_report_metric_review_required,已文档核验2017Q02: 原卷真题p1; 答案2017广州中考答案.pdf; 年报p3; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-02,2017广州中考.pdf,真题p1,2017广州中考答案.pdf,参考答案文件对应题号,年报p3;文档核验:2017Q02逐题分析,0.7338,0.403,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0027,year_report_observation,YRO-C003-2017-03,year_report_metric_review_required,已文档核验2017Q03: 原卷真题p1; 答案2017广州中考答案.pdf; 年报p3; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-03,2017广州中考.pdf,真题p1,2017广州中考答案.pdf,参考答案文件对应题号,年报p3;文档核验:2017Q03逐题分析,0.7973,0.5214,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0028,year_report_observation,YRO-C003-2017-04,year_report_discrimination_review_required,已文档核验2017Q04: 原卷真题p1; 答案2017广州中考答案.pdf; 年报p53; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-04,2017广州中考.pdf,真题p1,2017广州中考答案.pdf,参考答案文件对应题号,年报p53;文档核验:2017Q04逐题分析,0,1,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0029,year_report_observation,YRO-C003-2017-05,year_report_metric_review_required,已文档核验2017Q05: 原卷真题p1; 答案2017广州中考答案.pdf; 年报p5; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-05,2017广州中考.pdf,真题p1,2017广州中考答案.pdf,参考答案文件对应题号,年报p5;文档核验:2017Q05逐题分析,0.5933,0.7108,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0030,year_report_observation,YRO-C003-2017-06,year_report_metric_review_required,已文档核验2017Q06: 原卷真题p2; 答案2017广州中考答案.pdf; 年报p6; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-06,2017广州中考.pdf,真题p2,2017广州中考答案.pdf,参考答案文件对应题号,年报p6;文档核验:2017Q06逐题分析,0.6485,0.6813,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_complete
QI-C003-0031,year_report_observation,YRO-C003-2017-07,year_report_metric_review_required,已文档核验2017Q07: 原卷真题p2; 答案2017广州中考答案.pdf; 年报p7; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-07,2017广州中考.pdf,真题p2,2017广州中考答案.pdf,参考答案文件对应题号,年报p7;文档核验:2017Q07逐题分析,0.6895,0.5363,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0032,year_report_observation,YRO-C003-2017-08,year_report_metric_review_required,已文档核验2017Q08: 原卷真题p2; 答案2017广州中考答案.pdf; 年报p9; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-08,2017广州中考.pdf,真题p2,2017广州中考答案.pdf,参考答案文件对应题号,年报p9;文档核验:2017Q08逐题分析,0.7603,0.454,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0033,year_report_observation,YRO-C003-2017-09,year_report_metric_review_required,已文档核验2017Q09: 原卷真题p3; 答案2017广州中考答案.pdf; 年报p10; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-09,2017广州中考.pdf,真题p3,2017广州中考答案.pdf,参考答案文件对应题号,年报p10;文档核验:2017Q09逐题分析,0.7603,0.454,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0034,year_report_observation,YRO-C003-2017-10,year_report_metric_review_required,已文档核验2017Q10: 原卷真题p2; 答案2017广州中考答案.pdf; 年报p11; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-10,2017广州中考.pdf,真题p2,2017广州中考答案.pdf,参考答案文件对应题号,年报p11;文档核验:2017Q10逐题分析,0.5135,0.7183,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0035,year_report_observation,YRO-C003-2017-11,year_report_page_unverified,已文档核验2017Q11: 原卷真题p3; 答案2017广州中考答案.pdf; 年报p12-p14;文档核验:2017Q11逐题分析;统计表p53; 难度/区分度已摘录或确认缺项; 错误/建议已摘录,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-11,2017广州中考.pdf,真题p3,2017广州中考答案.pdf,参考答案文件对应题号,年报p12-p14;文档核验:2017Q11逐题分析;统计表p53,0.572,0.8033,difficulty:准确摘录; discrimination:准确摘录,已摘录,已摘录,resolved_with_verified_evidence
QI-C003-0036,year_report_observation,YRO-C003-2017-12,year_report_metric_review_required,已文档核验2017Q12: 原卷真题p3; 答案2017广州中考答案.pdf; 年报p15; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-12,2017广州中考.pdf,真题p3,2017广州中考答案.pdf,参考答案文件对应题号,年报p15;文档核验:2017Q12逐题分析,0.5496,0.6386,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0037,year_report_observation,YRO-C003-2017-13,year_report_discrimination_review_required,已文档核验2017Q13: 原卷真题p4; 答案2017广州中考答案.pdf; 年报p17; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-13,2017广州中考.pdf,真题p4,2017广州中考答案.pdf,参考答案文件对应题号,年报p17;文档核验:2017Q13逐题分析,0.7395,0.6006,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0038,year_report_observation,YRO-C003-2017-14,year_report_discrimination_review_required,已文档核验2017Q14: 原卷真题p4; 答案2017广州中考答案.pdf; 年报p20; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-14,2017广州中考.pdf,真题p4,2017广州中考答案.pdf,参考答案文件对应题号,年报p20;文档核验:2017Q14逐题分析,0.7638,0.5419,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0039,year_report_observation,YRO-C003-2017-15,year_report_human_confirmation_required,已文档核验2017Q15: 原卷真题p5; 答案2017广州中考答案.pdf; 年报p24; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-15,2017广州中考.pdf,真题p5,2017广州中考答案.pdf,参考答案文件对应题号,年报p24;文档核验:2017Q15逐题分析,0.6739,0.4477,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0040,year_report_observation,YRO-C003-2017-16,year_report_metric_review_required,已文档核验2017Q16: 原卷真题p4; 答案2017广州中考答案.pdf; 年报p6; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-16,2017广州中考.pdf,真题p4,2017广州中考答案.pdf,参考答案文件对应题号,年报p6;文档核验:2017Q16逐题分析,0.6485,0.6813,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已摘录,已摘录,resolved_complete
QI-C003-0041,year_report_observation,YRO-C003-2017-17,year_report_metric_review_required,已文档核验2017Q17: 原卷真题p5; 答案2017广州中考答案.pdf; 年报p28; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-17,2017广州中考.pdf,真题p5,2017广州中考答案.pdf,参考答案文件对应题号,年报p28;文档核验:2017Q17逐题分析,0.8877,0.2735,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已确认未检索到明确摘录,resolved_with_unavailable_or_unextracted_fields
QI-C003-0042,year_report_observation,YRO-C003-2017-18,year_report_metric_review_required,已文档核验2017Q18: 原卷真题p4; 答案2017广州中考答案.pdf; 年报p30; 难度/区分度已摘录或补录; 错误/建议已摘录或确认缺项,low,已关闭；后续 active 前由 C002S 复核,resolved,true,QPHY-C003-2017-18,2017广州中考.pdf,真题p4,2017广州中考答案.pdf,参考答案文件对应题号,年报p30;文档核验:2017Q18逐题分析,0.862,0.3693,difficulty:准确摘录或统计表补录; discrimination:准确摘录或统计表补录,已确认未检索到明确摘录,已摘录,resolved_with_unavailable_or_unextracted_fields
