task_id,scope,deterministic_precheck,dedicated_surface,ai_agent_allowed_scope,exception_policy,evidence_command
GLOBAL,all future feature work,CSV JSON YAML schema backlog and roadmap parse plus source evidence checks,tasks/automation-first-contract.csv plus automation-first guard,AI agent only semantic candidate complex mapping risk review or outer orchestration,missing row or weak evidence blocks implementation,tools/run-automation-first-feature-contract-guard.ps1
S002,teacher workflow application service,rg inventory thin endpoint guard workflow DTO state contract,application services and focused API contracts,N/A no AI runtime dependency,endpoint business orchestration drift blocks task,dotnet build plus architecture guard plus automation-first guard
S003,real import workbench API UI,upload metadata validation source preview privacy checks,typed API client import UI and API smoke,N/A no AI runtime dependency,missing API or UI smoke blocks task,API smoke plus UI contract plus automation-first guard
S004,document parse quality baseline,OpenXML OMML docx parse PDF text layout extraction Docling structure PaddleOCR PP-OCRv5 PP-StructureV3 PP-FormulaNet golden registry adapter diagnostics benchmark hash worker profile isolation venv uv conda WSL Docker path mapping model cache timeout install deploy configure diagnostic new host hardware detection and cloud fallback admission checks,layered document adapters benchmark script worker profile install diagnostic evidence report and manual takeover UI,N/A no AI agent production dependency cloud OCR only optional reviewed fallback after privacy cost authorization cache and rollback admission,missing layered adapter profile install evidence path mapping model cache new host diagnostic or low confidence without pending_review blocks task,adapter benchmark contract plus worker profile install diagnostic plus automation-first guard
S005,cut candidate pipeline,DocumentModel rules source region confidence and failure reason checks,candidate API service UI contract and J006 report,AI only candidate suggestion never full automation,claiming full auto cut blocks task,API contract plus J006 report plus automation-first guard
S006,human review takeover workbench,review queue status audit undo and source checks,review API UI golden scenario and audit evidence,N/A no AI runtime dependency,missing human takeover path blocks task,UI contract plus API smoke plus automation-first guard
S007,AI tagging suggestion review queue,schema eval active knowledge version no active write checks,DB backed suggestion queue review UI and audit evidence,AI only pending_review suggestion teacher confirms write,no direct question write without teacher confirmation,AI eval plus review queue contract plus automation-first guard
S008,production search and question card,C002 active query source version pagination and asset status checks,QuestionSearch API UI contract and roadmap guard,N/A no AI runtime dependency,missing active version reference blocks task,API search contract plus UI contract plus automation-first guard
S009,paper basket and blueprint workflow,paper basket persistence blueprint constraints undo and version checks,PaperWorkflowService API UI smoke and no opaque generation guard,AI or natural language only produces reviewable blueprint,opaque paper generation blocks task,API persistence contract plus blueprint smoke plus automation-first guard
S010,export preflight and artifacts,export preflight rules manifest hash and artifact checks,export API UI artifact chain and regression scripts,N/A no AI runtime dependency,missing artifact manifest blocks task,export regression plus UI contract plus automation-first guard
S011,score import to commentary report,Excel parser template reuse item mapping privacy and analysis rules,score import API analysis service report export UI,AI only draft wording or practice suggestion after rule metrics,undeclared PII or formal history write blocks task,score import contract plus analysis smoke plus automation-first guard
S012,non-site E2E release rehearsal,fixture manifest privacy backup restore elapsed time and rollback checks,E2E script evidence pack completion dashboard and release gate,AI agent only proxy execution narrator not product runtime,missing deterministic E2E evidence blocks P001,full gate plus E2E evidence plus automation-first guard
S011A,score import API productization,Excel parser template reuse batch status privacy and row error checks,ScoreAnalysisWorkflowService API contract and privacy guard,N/A no AI runtime dependency,PII leakage or no parser evidence blocks task,API contract plus privacy guard plus automation-first guard
S011B,item score mapping UI,item to question knowledge mapping ambiguity and validation rules,mapping UI API smoke and typed client,N/A no AI runtime dependency,unclear mapping must centralize for human handling,UI contract plus API smoke plus automation-first guard
S011C,commentary report export,SQL or service metrics report sections export manifest and no formal history checks,analysis service export smoke and evidence report,AI only draft explanation or practice suggestion after deterministic metrics,no formal historical口径 without admission,analysis export smoke plus automation-first guard
S012A,E2E proxy fixture pack,authorized or anonymized fixture manifest expected path and privacy checks,fixture pack tests and evidence manifest,AI agent only helps checklist review not data source,missing authorization or anonymization blocks task,fixture manifest plus privacy check plus automation-first guard
S012B,non-site E2E rehearsal,scripted full path elapsed time error takeover data change and rollback checks,E2E orchestration script backup restore and evidence report,AI agent only outer runner or observer not product runtime,no scripted evidence blocks release gate,E2E script plus backup restore plus automation-first guard
S012C,S0 release gate,completion dashboard full gate roadmap and P001 blockers checks,release gate script dashboard and task evidence,N/A no AI runtime dependency,teacher_validated claim without gate blocks task,full gate plus roadmap guard plus S001 dashboard plus automation-first guard
REAL001,real Guangzhou 2015 first 18 ingest,source document hash lookup PDF text adapter question number parser answer alignment DB counts rollback and pending_review checks,tools/run-guangzhou-2015-real-ingest-slice.ps1 plus evidence report,N/A no AI runtime dependency deterministic seed only,claiming teacher validation or all-year closure blocks task,tools/run-guangzhou-2015-real-ingest-slice.ps1 plus roadmap guard
REAL002,real Guangzhou 2015 visual regions and questions 19-24,source region screenshot bbox question asset cross-page and long-question parser checks,visual region slice script evidence report and manual takeover UI,AI only candidate hints after deterministic crop evidence,placeholder bbox or missing long questions blocks completion,tools/run-guangzhou-2015-visual-region-slice.ps1 plus automation-first guard
REAL003,real Guangzhou 2016-2025 batch ingest,year manifest source hash adapter quality answer coverage and rollback checks,batch ingest dry-run script dashboard and evidence report,AI only semantic candidate review no active write,year batch without source hash or rollback evidence blocks task,tools/run-guangzhou-physics-year-batch-ingest.ps1 plus automation-first guard
REAL004,real paper teacher review web closure,review queue filter API audit status transition source preview and teacher terminology checks,Web review UI contract API smoke and typed client,N/A no AI runtime dependency,teacher confirmation write without audit or source view blocks task,npm run build plus UI contract plus API smoke
REAL005,real Guangzhou 2015-2025 full closure standard,source manifest year coverage expected question counts answer coverage visual source region asset audit search paper export analysis rollback and teacher review evidence checks,real-guangzhou closure criteria CSV plus closure standard guard plus completion dashboard row,AI only drafts semantic tags or anomaly notes that remain pending_review human reviewed and no active write,claiming 2015-2025 fully implemented without every criterion pass blocks task,tools/run-real005-guangzhou-2015-2025-closure-standard.ps1 plus automation-first guard
REAL006,real source screenshot URL invariant,source region screenshot path file existence MIME and per-question URL coverage checks,screenshot generation script API source endpoint and Web source preview,N/A no AI runtime dependency,any re-run that clears screenshotRelativePath blocks task,tools/run-guangzhou-2015-source-region-screenshots.ps1 plus REAL004 smoke plus source URL probe
REAL007,real layout noise cleanup,header footer candidate area binding line watermark page number and instruction region classifiers plus bbox quality checks,source region quality script and review UI noise badges,AI only optional anomaly note pending_review,noise kept as question content without pending_review blocks task,source region quality report plus automation-first guard
REAL008,real question image asset anchoring,question asset source_region block anchor purpose and file path checks,question asset API UI association and re-crop smoke,N/A no AI runtime dependency,source screenshot counted as question image without asset record blocks task,question asset API/UI smoke plus question search probe
REAL009,real table structured persistence,table row column caption confidence sourceRegion and fallback image checks,table block API UI editor and export smoke,AI only optional table cleanup candidate pending_review,table only stored as image without structured pending_review reason blocks task,table block import/export smoke plus automation-first guard
REAL010,real formula fidelity,OMML first-source LaTeX MathML derivative fallback image confidence and reviewStatus checks,formula object parser API renderer UI editor and export regression,AI/OCR formula only candidate pending_review with source crop,OCR formula auto write without fallback image and review blocks task,formula fidelity smoke plus OpenXML OMML golden plus scanned formula review plus export regression
REAL011,real edit recrop audit,question block source region asset patch validation audit rollback and role checks,edit/re-crop API UI and review audit query,N/A no AI runtime dependency,manual edit without audit or rollback evidence blocks task,API patch smoke plus Web edit/re-crop smoke
REAL012,real production usage quality report,real reviewed question search basket export analysis and per-paper completeness metrics checks,quality report script dashboard and real question E2E smoke,AI only draft explanation after deterministic metrics,synthetic-only proof or missing quality report keeps closure not_closed,real question search/paper/export/analysis smoke plus quality report guard
P001,live pilot readiness preflight,installer backup restore permission audit host capability diagnostic worker profile diagnostic aiLocalModelProfile admission and four-entry smoke checks,preflight checklist install wizard host capability diagnostic worker profile diagnostic ai local model read-only diagnostic and evidence pack,AI agent only proxy runbook executor no product dependency; local small model only draft/pending_review after eval,missing isolated machine host capability diagnostic worker profile diagnostic aiLocalModelProfile no-download/no-default evidence or rollback evidence blocks pilot,tools/run-p001-live-pilot-readiness-preflight-contract.ps1 plus host capability diagnostic plus worker profile diagnostic plus automation-first guard
O008,technology refresh and candidate admission catalog,trusted source allowlist schema catalog diff hardware capability model card OCR engine metadata and no-install checks,technology refresh contract sources yaml capability taxonomy model admission catalog OCR admission catalog and report evidence,AI API only report_only summarizer and catalog candidate drafter; no product runtime dependency no real material processing,missing trusted sources report_only no-download no-default or eval task evidence blocks P001 live readiness,tools/run-technology-refresh-contract.ps1 plus technology refresh evidence plus automation-first guard
P002,teacher proxy pilot round 1,authorized or anonymized material path timing and rollback checks,teacher proxy checklist and report template,AI agent only proxy observer and evidence summarizer,real data without authorization blocks task,tools/run-p002-teacher-proxy-pilot-preflight-contract.ps1 plus automation-first guard
P003,onsite pilot admission,teacher boundary data authorization support owner and rollback checks,onsite admission checklist and pilot card,N/A no AI runtime dependency,unclear responsibility or rollback blocks onsite pilot,tools/run-p003-onsite-pilot-admission-preflight-contract.ps1 plus automation-first guard
P004,onsite pilot round 1,elapsed time operation friction error copy confusion and rollback checks,onsite pilot checklist and teacher evidence report,AI agent only after-action summarizer,missing teacher evidence blocks completion,tools/run-p004-onsite-pilot-round1-preflight-contract.ps1 plus automation-first guard
P005,pilot feedback backlog,feedback classification rules frequency metric teacher efficiency risk and cost scoring,feedback backlog script docs/28 update and task update,AI agent only clustering suggestion human decides backlog change,untriaged feedback blocks roadmap changes,tools/run-p005-pilot-feedback-backlog-preflight-contract.ps1 plus automation-first guard
P006,v0.1 release decision,gate backup restore privacy permission teacher efficiency and tag candidate checks,release decision checklist evidence and tag candidate,N/A no AI runtime dependency,release without hard evidence blocks task,tools/run-p006-release-decision-preflight-contract.ps1 plus automation-first guard
Q001,second subject candidate admission,source upload hash license candidate and no active checks,candidate admission preflight template and evidence,AI only candidate extraction after source evidence,missing source-backed candidate blocks admission,tools/run-q001-second-subject-candidate-admission-preflight-contract.ps1 plus automation-first guard
Q002,second subject teacher review template,checklist completeness source mapping and teacher terminology checks,teacher review checklist template and guard,AI only draft review hints teacher approves,template missing teacher-readable fields blocks task,tools/run-q002-second-subject-teacher-review-template-preflight-contract.ps1 plus automation-first guard
Q003,second subject active drill,backup readiness reviewed active rollback snapshot and blocker checks,domain activation script template and evidence,AI agent only outer runbook helper no active write,no backup or rollback snapshot blocks drill,tools/run-q003-second-subject-active-drill-preflight-contract.ps1 plus automation-first guard
Q004,cross subject diff report,subject diff rules for question type label rubric export and analysis checks,diff report preflight template and dynamic asset mapping,N/A no AI runtime dependency,hard-coded subject differences block task,tools/run-q004-cross-subject-diff-report-preflight-contract.ps1 plus automation-first guard
Q005,multi subject UI simplification,teacher four-entry UI subject default and template checks,UI simplification preflight checklist and contract,N/A no AI runtime dependency,extra teacher entry blocks task,tools/run-q005-multi-subject-ui-simplification-preflight-contract.ps1 plus automation-first guard
R001,search semantic retrieval eval,PostgreSQL FTS baseline query latency and miss case checks,search eval preflight and ADR candidate,AI or vector only after FTS insufficiency evidence,pgvector or external search without benchmark blocks task,tools/run-r001-search-semantic-retrieval-eval-preflight-contract.ps1 plus automation-first guard
R002,queue worker scale eval,BackgroundService throughput lease retry and failure baseline checks,queue scale eval preflight and ADR candidate,AI agent not used for runtime scheduling,Hangfire RabbitMQ adoption blocks without bottleneck evidence,tools/run-r002-queue-worker-scale-eval-preflight-contract.ps1 plus automation-first guard
R003,interop eval,existing profile map demand source and field mapping checks,interop eval preflight and profile map,N/A no AI runtime dependency,standard implementation without real integration need blocks task,tools/run-r003-interop-eval-preflight-contract.ps1 plus automation-first guard
R004,advanced analysis eval,sample size explanation duty and CTT baseline checks,advanced analysis eval preflight and ADR candidate,AI only explanatory draft after deterministic metrics,IRT without sample and responsibility boundary blocks task,tools/run-r004-advanced-analysis-eval-preflight-contract.ps1 plus automation-first guard
R005,public multischool deploy eval,data responsibility procurement network and ops boundary checks,deploy eval preflight and risk matrix,N/A no AI runtime dependency,SaaS or multi-tenant without boundary evidence blocks task,tools/run-r005-public-multischool-deploy-eval-preflight-contract.ps1 plus automation-first guard
R006,techdebt cadence,gate maintenance dependency performance and stale experiment checks,techdebt cadence checklist and periodic evidence,N/A no AI runtime dependency,cleanup without rollback or baseline blocks task,tools/run-r006-techdebt-cadence-preflight-contract.ps1 plus automation-first guard
R007,interoperability profile map,QuestionItem Paper KnowledgeNode ScoreRecord AnalysisEvent mapping checks,profile map preflight and docs/templates/r007 checklist,N/A no AI runtime dependency,import/export spike before profile map blocks task,tools/run-r007-interoperability-profile-map-preflight-contract.ps1 plus automation-first guard
