module_id,module_paths,task_ids,official_reference_urls,local_reference_paths,community_reference_paths,adoption_mode,why_required,minimum_expectation
API_HOST_AND_WORKFLOW_BOUNDARY,apps/api/Program.cs;apps/api/Application;apps/api/FileStore;apps/api/Workers;apps/api/Data;apps/api/ImportJobs,NS1301;NS1302;R002,https://github.com/dotnet/AspNetCore.Docs;https://learn.microsoft.com/aspnet/core/host-and-deploy/windows-service?view=aspnetcore-10.0;https://github.com/MicrosoftDocs/PowerShell-Docs,official-docs/AspNetCore.Docs;official-docs/PowerShell-Docs;architecture-samples/CleanArchitecture,,official_semantics_plus_selective_pattern_reuse,宿主模型 service boundary 和运维脚本一旦漂移 就会把业务编排和部署边界重新搅乱,改动 API host endpoint boundary Windows Service 入口或 operator runbook 前 先对照官方宿主和分层样例
WEB_TEACHER_WORKBENCH,apps/web/src/App.tsx;apps/web/src/api;apps/web/src/state;apps/web/src/ui;apps/web/vite.config.ts,NS1301;P005,https://github.com/reactjs/react.dev;https://github.com/TanStack/query;https://github.com/ant-design/ant-design;https://github.com/vitejs/vite;https://github.com/remix-run/react-router;https://github.com/microsoft/playwright,official-docs/react.dev;official-docs/tanstack-query;official-docs/ant-design;official-docs/vite;official-docs/react-router;official-docs/playwright,,official_semantics_plus_selective_pattern_reuse,教师工作台最容易因为页面拆分和状态管理习惯而重新混入后台复杂度,改动 teacher shell 路由 server-state typed client 或高频表单流程前 先对照 React Query Router AntD 和 Playwright
EXPORT_ARTIFACT_CHAIN_AND_FIDELITY,apps/api/Application/Workflows/PaperWorkflowService.cs;apps/web/src/ui/PaperWorkbenchPanels.tsx;tools/run-e004-paper-export-contract.ps1;tools/run-j004-fidelity-regression-contract.ps1;tools/run-s010b-word-pdf-artifact-chain-smoke.ps1;tools/s010b_paper_artifact_chain.py,S010;REAL010,https://github.com/dotnet/Open-XML-SDK;https://learn.microsoft.com/en-us/dotnet/api/documentformat.openxml.math.officemath;https://github.com/microsoft/playwright,official-docs/Open-XML-SDK;official-docs/playwright,,official_semantics_plus_selective_pattern_reuse,导出链需要同时守住公式 题图 来源授权 manifest 和教师可打印体验 不能只验证文件存在,改动 export preflight artifact chain Word/PDF 变体或 fidelity 规则前 先复核 OpenXML OfficeMath 与 Playwright 验收参考
SCORE_ANALYSIS_AND_COMMENTARY,apps/api/Application/Workflows/ScoreAnalysisWorkflowService.cs;apps/web/src/ui/ScoreWorkbenchPanelContent.tsx;apps/web/src/ui/AnalysisPanelContent.tsx;tools/run-f002-score-import-contract.ps1;tools/run-f003-knowledge-mastery-analysis-contract.ps1;tools/run-s011a-score-import-api-smoke.ps1;tools/run-s011c-commentary-report-export-smoke.ps1,S011,https://github.com/dotnet/EntityFramework.Docs;https://github.com/dotnet/Open-XML-SDK;https://github.com/reactjs/react.dev;https://github.com/TanStack/query,official-docs/EntityFramework.Docs;official-docs/Open-XML-SDK;official-docs/react.dev;official-docs/tanstack-query,,official_semantics_plus_selective_pattern_reuse,成绩导入到讲评导出横跨持久化 规则计算 前端状态和导出工件 任何一层漂移都会直接影响教师结果解释,改动 score import item mapping analysis summary 或 commentary export 前 先复核 EF OpenXML React 与 TanStack Query 参考
AI_ROUTING_AND_EVAL,apps/api/Ai;apps/web/src/ui/AiRoutingControlPanel.tsx;schemas/ai;tools/run-ns1305-role-routed-ai-contract.ps1;tools/run-l007-llm-security-red-team-gate.ps1,NS1305;O008,https://platform.openai.com/docs/guides/structured-outputs;https://platform.openai.com/docs/api-reference/evals/create;https://github.com/openai/openai-dotnet;https://github.com/openai/openai-python;https://github.com/openai/openai-cookbook,official-docs/openai-dotnet;official-docs/openai-python;official-docs/AspNetCore.Docs;official-docs/react.dev;official-docs/tanstack-query,,official_semantics_plus_eval_first,AI 路由和 structured output/eval 边界若只凭聊天记忆改 会同时伤到成本 隐私和运行时安全,改动 provider profile role routing structured output eval 或 no-active-write 边界前 先复核官方 API 指南与 SDK 锚点
DOCUMENT_IMPORT_OCR_FORMULA,workers/document/worker.py;workers/document/requirements.txt;apps/api/Workers;tools/j001_openxml_docx_fixture.py;tools/j002_text_pdf_fixture.py;tools/j003_scanned_ocr_fixture.py;tools/j004_fidelity_regression.py;tools/run-s004b-adapter-benchmark-report.ps1,S004;REAL010;NS1304,https://github.com/dotnet/Open-XML-SDK;https://github.com/docling-project/docling;https://github.com/PaddlePaddle/PaddleOCR;https://github.com/ocrmypdf/OCRmyPDF;https://github.com/RapidAI/RapidOCR,official-docs/Open-XML-SDK;document-ocr-ai/docling;document-ocr-ai/PaddleOCR;document-ocr-ai/OCRmyPDF;document-ocr-ai/RapidOCR,document-workflows/paperless-ngx,official_semantics_plus_selective_pattern_reuse,导入链会直接影响题目正确性 公式保真和人工接管成本,改动 adapter 顺序 OCR profile fallback reviewStatus 或 fidelity 规则前 先复核 OpenXML OCRmyPDF PaddleOCR RapidOCR 和 Docling
QUESTION_BANK_DOMAIN_ASSET_GOVERNANCE,apps/api/Domain;apps/api/Application/Workflows;apps/api/Data/KqgDbContext.cs;tools/run-c002t-active-switch.ps1;tools/run-k006-knowledge-asset-health-dashboard-contract.ps1,P005;R007,https://github.com/dotnet/EntityFramework.Docs;https://github.com/npgsql/doc;https://github.com/jasontaylordev/CleanArchitecture,official-docs/EntityFramework.Docs;official-docs/npgsql-doc;architecture-samples/CleanArchitecture,education-assessment/moodle;education-assessment/OpenOLAT,reference_only_no_copy,知识资产和题库治理边界要从成熟平台吸收治理经验 但不能直接照搬 LMS 模型 这里更适合吸收治理边界和生命周期做法,扩展知识资产 生命周期 审计或题库治理前 先复核 EF Npgsql 与教育平台治理参考 不直接复刻 LMS 数据模型
WINDOWS_SERVICE_INSTALLER_OPERATIONS,tools/start-local-api.ps1;tools/database-env.ps1;tools/run-ns1302-service-control-panel-contract.ps1;tools/run-ns1303-runtime-profile-contract.ps1;tools/run-ns803-installer-host.ps1;tools/run-o001-windows-service-publish-contract.ps1,NS1302;NS1303;P001,https://github.com/dotnet/AspNetCore.Docs;https://github.com/MicrosoftDocs/PowerShell-Docs;https://learn.microsoft.com/en-us/windows-server/administration/windows-commands/robocopy,official-docs/AspNetCore.Docs;official-docs/PowerShell-Docs,,official_semantics_first,Windows Service 安装与运维是现场前的真实入口 不能靠经验改路径和复制策略 必须以官方宿主与 PowerShell/Windows 运维语义为主,改动安装 包装 计划任务 路径 复制或宿主诊断前 先复核官方宿主与 PowerShell 运维语义 不以社区项目替代官方语义
BACKUP_RESTORE_RELEASE_EVIDENCE,docs/109_ReleaseGoNoGoCard.md;tasks/live-pilot-closeout-plan.csv;tools/backup.ps1;tools/verify-backup.ps1;tools/run-live-pilot-closeout-plan-guard.ps1;tools/run-ns1308-release-evidence-pack-contract.ps1,NS1308;P001;P006,https://learn.microsoft.com/aspnet/core/host-and-deploy/windows-service?view=aspnetcore-10.0;https://github.com/dotnet/EntityFramework.Docs;https://github.com/MicrosoftDocs/PowerShell-Docs;https://github.com/microsoft/playwright,official-docs/AspNetCore.Docs;official-docs/EntityFramework.Docs;official-docs/PowerShell-Docs;official-docs/playwright,document-workflows/paperless-ngx;architecture-samples/CleanArchitecture,official_semantics_plus_selective_pattern_reuse,发布证据包会直接影响对外完成口径 回滚窗口和 operator 预演策略 这里必须以官方宿主 EF 和 PowerShell/Windows 运维语义为主 社区项目只作辅助比照,改动 backup restore release pack rollback 或 tag candidate 口径前 先复核宿主 迁移 运维和可视化验收参考 且不要把社区项目当作主语义来源
VISUAL_SURROGATE_AND_UI_VERIFICATION,tools/run-ns1306-agent-tool-orchestration-contract.ps1;tools/run-ns1307-golden-visual-llm-security-gate.ps1;tools/run-real004-guangzhou-2015-review-smoke.ps1;tests/e2e,NS1306;NS1307;P001,https://github.com/microsoft/playwright;https://owasp.org/www-project-artificial-intelligence-security-verification-standard-aisvs-docs/;https://www.nist.gov/itl/ai-risk-management-framework;https://github.com/PaddlePaddle/PaddleOCR,official-docs/playwright;document-ocr-ai/PaddleOCR,document-workflows/paperless-ngx,official_semantics_plus_eval_first,视觉代理和浏览器验收一旦越界 会同时影响 release 级真实性和安全边界,改动 visual surrogate browser automation prompt injection 或 golden coverage 前 先复核 Playwright OWASP NIST 与 OCR 官方来源
SEARCH_RETRIEVAL_ADMISSION,apps/api/Data;apps/api/Domain;tools/run-ns1201-search-eval.ps1;tools/run-r001-search-semantic-retrieval-eval-preflight-contract.ps1,R001,https://www.postgresql.org/docs/current/textsearch.html;https://www.postgresql.org/docs/current/pgtrgm.html;https://github.com/pgvector/pgvector,official-docs/npgsql-doc;official-docs/postgresql-docs;data-search/pgvector,,official_semantics_first,搜索路线切换会直接影响默认产品边界和成本 隐私与删改策略 默认 PostgreSQL FTS + pg_trgm 路线应有本地官方语义锚点,在 PostgreSQL FTS 之外引入向量或外部搜索前 必须先复核 PostgreSQL 原生文档与 pgvector 官方来源
QUEUE_BACKGROUND_SERVICE_ADMISSION,apps/api/Program.cs;apps/api/Application;tools/run-ns1202-queue-eval.ps1;tools/run-r002-queue-worker-scale-eval-preflight-contract.ps1,R002,https://learn.microsoft.com/aspnet/core/fundamentals/host/hosted-services?view=aspnetcore-10.0;https://github.com/dotnet/AspNetCore.Docs,official-docs/AspNetCore.Docs,architecture-samples/CleanArchitecture,official_semantics_plus_selective_pattern_reuse,队列扩展一旦过早引入 会直接改变部署和恢复模型,改变 PostgreSQL job store plus BackgroundService 默认路线前 必须先复核 hosted service 官方来源和现有架构样例
INTEROP_PROFILE_AND_EDU_GOVERNANCE,docs/108_InteroperabilityProfileBoundary.md;tools/run-r007-interoperability-profile-map-preflight-contract.ps1;tools/run-p003-onsite-pilot-admission-preflight-contract.ps1,P003;R007,https://www.1edtech.org/standards/qti;https://www.1edtech.org/standards/case;https://www.1edtech.org/standards/oneroster;https://www.1edtech.org/standards/caliper,education-assessment/OpenOLAT;education-assessment/moodle,education-assessment/TAO,reference_only_no_copy,标准互操作和现场治理最容易被过度承诺 必须先看标准原文和成熟平台治理边界 TAO 更贴近 assessment/QTI 参考而 Moodle/OpenOLAT 更偏平台治理,扩大 profile map 之外的互操作承诺或现场治理口径前 必须先复核 1EdTech 标准与教育平台治理参考 不直接照搬平台模型
